index,publishing_year,book_name,author,language_code,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,page_count,reviews,awards_and_recognition,format
571,2003.0,dry: a memoir,augusten burroughs,eng,,4.01,70550,children,1448.55,869.13,9.99,635,"amazon digital services,  inc.",3915,,,,
572,2001.0,sam's letters to jennifer,james patterson,unknown,,4.15,77538,genre fiction,868.55,521.13,5.99,636,hachette book group,3915,,,,
573,2015.0,grey,e.l. james,en-gb,,3.76,75320,genre fiction,1134.72,680.832,7.88,637,hachette book group,3888,,,,
574,1969.0,dune messiah,frank herbert,eng,,3.86,82580,genre fiction,570.57,0.0,3.99,641,"amazon digital services,  inc.",3861,,,,
575,1945.0,the great divorce,c.s. lewis,en-us,,4.28,75031,fiction,1428.57,857.142,9.99,642,penguin group (usa) llc,3861,,,,
576,2004.0,little earthquakes,jennifer weiner,unknown,,3.76,77592,nonfiction,1072.5,643.5,7.5,645,random house llc,3861,,,,
577,1835.0,eventyr og historier,"hans christian andersen, lily owens, arthur rackham, hans richter",eng,,4.28,90999,genre fiction,708.58,0.0,4.99,646,"amazon digital services,  inc.",3834,,,,
578,2009.0,new moon: the complete illustrated movie companion,mark cotta vaz,en-us,,4.34,82399,genre fiction,1560.58,936.348,10.99,647,penguin group (usa) llc,61560,,,,
579,2014.0,maybe someday,colleen hoover,eng,,4.33,81707,genre fiction,969.86,581.916,6.83,649,random house llc,61128,,,,
580,1999.0,mr maybe,jane green,eng,,3.41,78132,genre fiction,562.59,0.0,3.99,651,"amazon digital services,  inc.",61128,,,,
581,1915.0,anne of the island,l.m. montgomery,eng,,4.21,97049,genre fiction,139.59,83.754,0.99,652,random house llc,60696,,,,
582,1883.0,also sprach zarathustra,"friedrich nietzsche, walter kaufmann",eng,,4.05,65362,genre fiction,1030.71,618.426,7.31,652,penguin group (usa) llc,59400,,,,
583,1854.0,north and south,"elizabeth gaskell, alan shelston",eng,,4.13,95274,genre fiction,562.59,0.0,3.99,653,"amazon digital services,  inc.",58968,,,,
584,2011.0,a stolen life,jaycee dugard,en-us,,3.89,72713,fiction,558.6,0.0,3.99,655,"amazon digital services,  inc.",57240,,,,
585,2010.0,the immortals of meluha,amish tripathi,eng,,4.0,62784,genre fiction,418.6,251.16,2.99,658,"amazon digital services,  inc.",56808,,,,
586,1995.0,the lost world,michael crichton,eng,,3.72,83389,genre fiction,1398.6,839.16,9.99,658,"amazon digital services,  inc.",55728,,,,
587,2013.0,requiem,lauren oliver,eng,,3.74,100593,genre fiction,698.6,0.0,4.99,659,"amazon digital services,  inc.",55080,,,,
588,1996.0,a crown of swords,robert jordan,eng,,4.0,86421,nonfiction,137.61,0.0,0.99,661,"amazon digital services,  inc.",54000,,,,
589,-560.0,aesopica,"aesop, laura harris, laura gibbs",eng,,4.05,88508,genre fiction,693.61,0.0,4.99,663,"amazon digital services,  inc.",53784,,,,
590,1985.0,blood meridian: or the evening redness in the west,cormac mccarthy,eng,,4.18,71095,genre fiction,725.88,435.528,5.26,665,penguin group (usa) llc,53784,,,,
591,2012.0,finale,becca fitzpatrick,eng,,4.22,107569,genre fiction,1516.62,909.972,10.99,666,penguin group (usa) llc,53784,,,,
592,1985.0,skeleton crew,stephen king,eng,,3.93,82320,genre fiction,957.72,574.632,6.94,668,random house llc,53568,,,,
593,2002.0,lullaby,chuck palahniuk,unknown,,3.73,66713,genre fiction,1094.63,656.778,7.99,671,hachette book group,53352,,,,
594,2009.0,two states,chetan bhagat,eng,,3.42,67866,genre fiction,836.4,501.84,6.15,675,"amazon digital services,  inc.",53352,,,,
596,2002.0,summer knight,jim butcher,eng,,4.3,91012,genre fiction,542.64,0.0,3.99,676,"amazon digital services,  inc.",52920,,,,
598,2007.0,"the history of the hobbit, part one: mr. baggins","john d. rateliff, j.r.r. tolkien",eng,,3.81,108399,genre fiction,538.65,0.0,3.99,680,"amazon digital services,  inc.",52488,,,,
599,2014.0,ugly love,colleen hoover,eng,,4.3,107583,genre fiction,808.65,485.19,5.99,681,random house llc,52488,,,,
600,1998.0,chocolat,joanne harris,eng,,3.95,84770,nonfiction,873.68,524.208,6.52,682,"amazon digital services,  inc.",52056,,,,
601,1977.0,the amityville horror,jay anson,eng,,3.82,80959,genre fiction,1191.26,714.756,8.89,684,hachette book group,52056,,,,
602,1992.0,the english patient,michael ondaatje,unknown,,3.88,83741,genre fiction,663.67,0.0,4.99,688,"amazon digital services,  inc.",51840,,,,
603,2012.0,gabriel's rapture,sylvain reynard,eng,,4.22,91213,genre fiction,530.67,0.0,3.99,689,"amazon digital services,  inc.",51624,,,,
604,1914.0,dubliners,"james joyce, jeri johnson",eng,,3.85,73140,fiction,397.67,238.602,2.99,690,random house llc,51408,,,,
605,2009.0,let the great world spin,colum mccann,en-us,,3.93,71515,genre fiction,394.68,0.0,2.99,692,"amazon digital services,  inc.",51192,,,,
606,2003.0,the eternity code,eoin colfer,eng,,4.04,94437,fiction,394.68,0.0,2.99,692,"amazon digital services,  inc.",51192,,,,
607,2001.0,tell no one,harlan coben,eng,,4.11,78070,genre fiction,394.68,236.808,2.99,693,"amazon digital services,  inc.",50976,,,,
608,1987.0,the tommyknockers,stephen king,eng,,3.48,89262,genre fiction,790.68,0.0,5.99,693,"amazon digital services,  inc.",50760,,,,
609,2010.0,hex hall,rachel hawkins,eng,,3.96,109881,fiction,526.68,0.0,3.99,693,"amazon digital services,  inc.",50544,,,,
610,2010.0,steal like an artist,austin kleon,en-us,,3.86,93625,genre fiction,130.68,78.408,0.99,694,"amazon digital services,  inc.",50328,,,,
611,1999.0,cryptonomicon,neal stephenson,eng,,4.25,72683,children,327.36,196.416,2.48,694,random house llc,50112,,,,
612,2013.0,beautiful bastard,christina lauren,eng,,4.05,111668,genre fiction,394.68,0.0,2.99,695,"amazon digital services,  inc.",49896,,,,
613,2000.0,prodigal summer,barbara kingsolver,en-us,,3.98,78529,genre fiction,260.69,156.414,1.99,696,simon and schuster digital sales inc,49896,,,,
614,1996.0,we were the mulvaneys,joyce carol oates,eng,,3.7,77251,genre fiction,1395.15,837.09,10.65,698,hachette book group,49680,,,,
615,1993.0,understanding comics: the invisible art,scott mccloud,en-us,,3.98,77277,nonfiction,129.69,77.814,0.99,699,"amazon digital services,  inc.",49680,,,,
616,2010.0,beautiful darkness,"kami garcia, margaret stohl",en-us,,3.84,95447,nonfiction,260.69,156.414,1.99,700,harpercollins publishers,49248,,,,
617,2011.0,the psychopath test,jon ronson,eng,,3.91,44097,genre fiction,492.7,295.62,3.79,701,macmillan,49032,,,,
618,2005.0,vanishing acts,jodi picoult,en-us,,3.68,79662,genre fiction,258.7,155.22,1.99,703,random house llc,48816,,,,
619,1995.0,absolute power,david baldacci,eng,,4.15,72481,genre fiction,1656.2,993.72,12.74,704,macmillan,48816,,,,
620,2000.0,hot six,janet evanovich,eng,,4.18,99329,genre fiction,514.71,0.0,3.99,705,"amazon digital services,  inc.",48600,,,,
621,2012.0,the time keeper,mitch albom,eng,,3.85,72277,genre fiction,127.71,0.0,0.99,707,"amazon digital services,  inc.",48384,,,,
622,2006.0,a dirty job,christopher moore,en-us,,4.08,78523,nonfiction,127.71,76.626,0.99,707,"amazon digital services,  inc.",48168,,,,
623,2003.0,moneyball: the art of winning an unfair game,michael   lewis,en-us,,4.24,66406,genre fiction,127.71,0.0,0.99,708,"amazon digital services,  inc.",47952,,,,
624,2003.0,the amulet of samarkand,jonathan stroud,en-us,,3.99,86062,genre fiction,127.71,0.0,0.99,709,"amazon digital services,  inc.",47736,,,,
625,2007.0,i am america (and so can you!),"stephen colbert, richard dahm, paul dinello, allison silverman, michael brumm, eric drydale, rob dubbin, glenn eichler, peter grosz, peter gwinn, jay katsir, laura krafft, frank lesser, tom purcell",en-us,,3.91,71023,genre fiction,885.76,531.456,6.92,710,penguin group (usa) llc,47520,,,,
626,1981.0,the one minute manager,"kenneth h. blanchard, spencer johnson",en-us,,3.85,70241,children,888.32,532.992,6.94,710,"amazon digital services,  inc.",47520,,,,
627,1958.0,exodus,leon uris,eng,,4.33,77258,genre fiction,1470.72,882.432,11.49,711,random house llc,47304,,,,
628,1994.0,stones from the river,ursula hegi,en-gb,,4.07,80056,genre fiction,787.2,472.32,6.15,712,"amazon digital services,  inc.",47304,,,,
629,1939.0,the big sleep,raymond chandler,eng,,4.04,84489,genre fiction,126.72,76.032,0.99,713,"amazon digital services,  inc.",47088,,,,
630,1945.0,cannery row,john steinbeck,eng,,4.02,81598,genre fiction,1153.28,691.968,9.01,713,harpercollins publishers,47088,,,,
631,2011.0,seriously...i'm kidding,ellen degeneres,en-us,,3.72,74358,genre fiction,843.28,505.968,6.64,714,hachette book group,46872,,,,
632,2000.0,the miserable mill,"lemony snicket, brett helquist",en-us,,3.83,101325,genre fiction,1395.73,837.438,10.99,716,penguin group (usa) llc,46872,,,,
633,2012.0,the snow child,eowyn ivey,eng,,3.95,72328,genre fiction,125.73,75.438,0.99,716,"amazon digital services,  inc.",46872,,,,
634,2013.0,wait for you,"j. lynn, jennifer l. armentrout",eng,,4.19,106236,genre fiction,506.73,0.0,3.99,717,"amazon digital services,  inc.",46440,,,,
635,2009.0,the last straw,jeff kinney,eng,,4.11,82518,genre fiction,502.74,0.0,3.99,719,"amazon digital services,  inc.",46440,,,,
636,1308.0,la divina commedia,"dante alighieri, allen mandelbaum, eugenio montale",eng,,4.06,74130,genre fiction,124.74,0.0,0.99,720,"amazon digital services,  inc.",46008,,,,
637,1982.0,the tao of pooh,"benjamin hoff, ernest h. shepard",eng,,4.01,69975,genre fiction,1198.75,719.25,9.59,724,harpercollins publishers,46008,,,,
638,2012.0,onyx,jennifer l. armentrout,eng,,4.33,111448,genre fiction,1127.5,676.5,9.02,725,random house llc,46008,,,,
639,2013.0,"unravel me (shatter me, #2)",tahereh mafi,eng,,4.28,109183,genre fiction,122.76,73.656,0.99,728,"amazon digital services,  inc.",45792,,,,
640,2003.0,the birth of venus,sarah dunant,en-us,,3.79,78129,genre fiction,370.76,0.0,2.99,730,"amazon digital services,  inc.",45576,,,,
641,2005.0,the opal deception,eoin colfer,eng,,4.04,95638,genre fiction,121.77,73.062,0.99,733,"amazon digital services,  inc.",45360,,,,
643,2016.0,the girls,emma cline,eng,,3.49,76761,genre fiction,974.78,584.868,7.99,737,random house llc,44928,,,,
